issue,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
GAME SHOW,24131,0,0,0,0,0,0,53,7,374,0,57,53,9,119,290,515,689,1577,1968,2168,4517,8730,2999,6
SOAP OPERA,8865,0,0,0,0,0,0,11,0,121,0,30,25,6,137,104,159,115,400,455,578,1702,3876,1146,0
TALK SHOW,55268,0,0,0,0,1,0,88,0,647,5,103,189,48,322,578,1127,1058,2827,3698,4140,9859,22327,8251,0
DRAMA,9110,0,0,0,0,0,0,8,0,61,4,19,5,1,89,40,189,243,341,355,298,1354,4361,1742,0
COMEDY,25520,0,0,0,0,0,0,12,0,342,1,81,55,14,30,104,375,518,1326,1685,2159,4283,10241,4294,0
SPORTS,6142,0,0,0,0,0,0,19,0,166,3,10,8,3,14,24,38,38,158,171,243,679,2802,1766,0
POLICE/SUSPENSE,4806,0,0,0,0,0,0,9,0,65,0,4,5,0,5,39,86,109,176,275,207,787,2142,897,0
DOCUMENTARY,483,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,1,5,4,15,17,88,257,78,0
