issue,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
GAME SHOW,50726,0,0,0,19,8,185,490,239,883,612,619,799,1173,1694,2420,1432,1306,3102,3826,4103,7293,14803,5682,38
SOAP OPERA,13766,0,0,0,4,0,50,58,15,138,25,53,47,108,375,479,309,277,706,965,1327,2451,4860,1519,0
TALK SHOW,100386,0,0,0,58,5,519,702,203,948,518,531,952,1397,2171,3617,2101,2025,5033,6701,8496,16092,33997,14225,95
DRAMA,18817,0,0,0,20,0,82,113,29,948,142,164,86,338,388,529,562,460,852,690,667,2320,7274,3133,20
COMEDY,46937,0,0,0,8,2,203,319,76,552,278,314,439,650,445,790,984,899,2217,2603,3730,7134,17435,7823,36
SPORTS,16984,0,0,0,2,0,10,59,17,340,322,199,252,431,170,431,118,57,340,277,632,1804,7508,4008,7
POLICE/SUSPENSE.MYSTERY,10022,0,0,0,7,2,48,113,56,139,99,92,96,271,214,282,239,211,474,537,433,1494,3620,1587,8
DOCUMENTARY,1224,0,0,0,2,0,13,151,3,6,10,22,28,29,38,15,4,9,22,39,64,144,365,260,0
