issue,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
DEMOCRAT,386065,0,0,0,0,16,40,788,177,4993,129,906,1160,289,2261,4687,7803,9282,20469,26408,31769,65516,153715,55573,84
REPUBLICAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
