issue,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
GAME SHOW,26569,0,0,0,19,8,185,437,232,509,612,562,746,1164,1575,2130,917,617,1525,1858,1935,2776,6058,2672,32
SOAP OPERA,4899,0,0,0,4,0,50,47,15,17,25,23,22,102,238,375,150,162,306,510,749,748,983,373,0
TALK SHOW,44997,0,0,0,58,4,519,614,203,301,513,428,763,1349,1849,3039,974,967,2206,3003,4352,6193,11613,5954,95
DRAMA,8868,0,0,0,20,0,82,105,29,52,138,145,81,337,299,489,373,217,511,335,369,966,2909,1391,20
COMEDY,21394,0,0,0,8,2,203,307,76,210,277,233,384,636,415,686,609,381,891,918,1571,2851,7185,3515,36
SPORTS,10837,0,0,0,2,0,10,40,17,174,319,189,244,428,156,407,80,19,182,106,389,1125,4704,2239,7
POLICE/SUSPENSE,5216,0,0,0,7,2,48,104,56,74,99,88,91,271,209,243,153,102,298,262,226,707,1478,690,8
DOCUMENTARY,727,0,0,0,0,0,13,149,3,6,10,22,28,29,22,15,3,4,18,24,45,48,106,182,0
