date,cost
12/29/15,1366950
12/30/15,1801240
12/31/15,917270
1/1/16,1248590
1/2/16,303790
1/3/16,1738040
1/4/16,1160190
1/5/16,1279360
1/6/16,1664100
1/7/16,1816900
1/8/16,1761940
1/9/16,1174280
1/10/16,2899240
1/11/16,1688100
1/12/16,1539210
1/13/16,1803720
1/14/16,1971580
1/15/16,2122780
1/16/16,1507930
1/17/16,2507130
1/18/16,1967650
1/19/16,2160000
1/20/16,2390820
1/21/16,2559750
1/22/16,2315380
1/23/16,631050
1/24/16,3763680
1/25/16,2468140
1/26/16,2701970
1/27/16,3066080
1/28/16,3032680
1/29/16,3100230
1/30/16,981990
1/31/16,2077200
2/1/16,2447320
2/2/16,1698130
2/3/16,1930790
2/4/16,2120030
2/5/16,2035630
2/6/16,688050
2/7/16,3775490
2/8/16,2730680
2/9/16,1322070
2/10/16,1009450
2/11/16,1683550
2/12/16,1801460
2/13/16,699150
2/14/16,1200780
2/15/16,2852030
2/16/16,2859210
2/17/16,3168310
2/18/16,3660960
2/19/16,4317950
2/20/16,893150
2/21/16,1637720
2/22/16,2427420
2/23/16,2433210
2/24/16,2496420
2/25/16,3136020
2/26/16,3674320
2/27/16,1370560
2/28/16,2485490
2/29/16,5433460
3/1/16,1551380
3/2/16,525750
3/3/16,613180
3/4/16,1044690
3/5/16,721690
3/6/16,1098920
3/7/16,2139820
3/8/16,1333830
3/9/16,855850
3/10/16,1600770
3/11/16,2115830
3/12/16,1042360
3/13/16,1446190
3/14/16,2377080
3/15/16,881390
3/16/16,274940
3/17/16,279810
3/18/16,383090
3/19/16,249110
3/20/16,282620
3/21/16,475220
3/22/16,218630
3/23/16,217410
3/24/16,403170
3/25/16,279130
3/26/16,61050
3/27/16,90480
3/28/16,185930
3/29/16,145090
3/30/16,131540
3/31/16,136120
4/1/16,147920
4/2/16,47280
4/3/16,96980
4/4/16,146640
4/5/16,44540
4/6/16,111330
4/7/16,299550
4/8/16,276920
4/9/16,249390
4/10/16,644910
4/11/16,1347950
4/12/16,967240
4/13/16,931910
4/14/16,873400
4/15/16,736620
4/16/16,330000
4/17/16,396000
4/18/16,648910
4/19/16,437180
4/20/16,321470
4/21/16,313580
4/22/16,341620
4/23/16,139920
4/24/16,186690
4/25/16,427010
4/26/16,156770
4/27/16,65200
4/28/16,13740
4/29/16,12200
4/30/16,8920
5/1/16,13050
5/2/16,36230
5/3/16,9220
5/4/16,4720
5/5/16,210
5/6/16,6570
5/7/16,1920
5/8/16,1860
5/9/16,11800
5/10/16,4380
5/11/16,10610
5/12/16,25960
5/13/16,32500
5/14/16,9540
5/15/16,11500
5/16/16,80010
5/17/16,55660
5/18/16,31620
5/19/16,32640
5/20/16,32640
5/21/16,9770
5/22/16,7520
5/23/16,22850
5/24/16,27040
5/25/16,32640
5/26/16,31130
5/27/16,35650
5/28/16,3250
5/29/16,3170
5/30/16,2460
5/31/16,6690
6/1/16,30140
6/2/16,31530
6/3/16,30220
6/4/16,10840
6/5/16,19840
6/6/16,40950
6/7/16,10450
6/8/16,0
6/9/16,0
6/10/16,0
6/11/16,0
6/12/16,0
6/13/16,0
6/14/16,0
6/15/16,0
6/16/16,0
6/17/16,0
6/18/16,0
6/19/16,0
6/20/16,0
6/21/16,0
6/22/16,0
6/23/16,0
6/24/16,0
6/25/16,0
6/26/16,0
6/27/16,0
6/28/16,0
6/29/16,0
6/30/16,0
7/1/16,0
7/2/16,0
7/3/16,0
7/4/16,0
7/5/16,0
7/6/16,22450
7/7/16,36800
7/8/16,31410
7/9/16,3130
7/10/16,13990
7/11/16,33550
7/12/16,51260
7/13/16,47730
7/14/16,30520
7/15/16,31310
7/16/16,6910
7/17/16,19400
7/18/16,54240
7/19/16,35800
7/20/16,0
7/21/16,0
7/22/16,2610
7/23/16,860
7/24/16,660
7/25/16,2080
7/26/16,4140
7/27/16,3820
7/28/16,3650
7/29/16,0
7/30/16,0
7/31/16,0
8/1/16,0
8/2/16,4440
8/3/16,8750
8/4/16,9940
8/5/16,12690
8/6/16,9450
8/7/16,7640
8/8/16,13970
8/9/16,7710
8/10/16,12210
8/11/16,3860
8/12/16,2060
8/13/16,150
8/14/16,260
8/15/16,650
8/16/16,0
8/17/16,0
8/18/16,0
8/19/16,0
8/20/16,0
8/21/16,0
8/22/16,0
8/23/16,0
8/24/16,0
8/25/16,0
8/26/16,21660
8/27/16,13440
8/28/16,16120
8/29/16,40240
8/30/16,0
8/31/16,0
9/1/16,0
9/2/16,0
9/3/16,0
9/4/16,0
9/5/16,0
9/6/16,0
9/7/16,0
9/8/16,0
9/9/16,0
9/10/16,0
9/11/16,0
9/12/16,0
9/13/16,0
9/14/16,0
9/15/16,0
9/16/16,0
9/17/16,0
9/18/16,0
9/19/16,0
9/20/16,0
9/21/16,0
9/22/16,0
9/23/16,0
9/24/16,0
9/25/16,0
9/26/16,0
9/27/16,0
9/28/16,0
9/29/16,0
9/30/16,0
10/1/16,0
10/2/16,0
10/3/16,0
10/4/16,0
10/5/16,0
10/6/16,5070
10/7/16,18150
10/8/16,1080
10/9/16,6440
10/10/16,28230
10/11/16,21200
10/12/16,24540
10/13/16,14150
10/14/16,15450
10/15/16,0
10/16/16,18400
10/17/16,22680
10/18/16,16100
10/19/16,14050
10/20/16,19990
10/21/16,1540
10/22/16,690
10/23/16,2300
10/24/16,4140
10/25/16,2080
10/26/16,4010
10/27/16,5880
10/28/16,5690
10/29/16,4460
10/30/16,2250
10/31/16,4300
11/1/16,6720
11/2/16,7380
11/3/16,6290
11/4/16,6780
11/5/16,1680
11/6/16,3300
11/7/16,4900
11/8/16,440
11/9/16,0
11/10/16,0
11/11/16,0
11/12/16,0
11/13/16,0
11/14/16,0
11/15/16,0
11/16/16,0
11/17/16,0
11/18/16,0
11/19/16,0
11/20/16,0
11/21/16,0
11/22/16,0
11/23/16,0
11/24/16,0
11/25/16,0
11/26/16,0
11/27/16,0
11/28/16,0
11/29/16,0
11/30/16,0
12/1/16,0
12/2/16,0
12/3/16,0
12/4/16,0
12/5/16,0
12/6/16,0
12/7/16,0
12/8/16,0
12/9/16,0
12/10/16,0
12/11/16,0
12/12/16,0
12/13/16,0
12/14/16,0
12/15/16,0
12/16/16,0
12/17/16,0
12/18/16,0
12/19/16,0
12/20/16,0
12/21/16,0
12/22/16,0
12/23/16,0
12/24/16,0
12/25/16,0
12/26/16,0
12/27/16,0
12/28/16,0
12/29/16,0
12/30/16,0
12/31/16,0
